question,option1,option2,option3,option4,answer,image
นายเอทำการวิเคราะห์ times series อันหนึ่งได้ผลลัพธ์มาตามข้อมูลด้านล่าง จะต้องใช้หลักฐานใดบ้างเพื่อสนับสนุนว่าข้อมูลนี้เป็น stationary time series,A: ข้อมูลนี้มี running mean ที่คงที่,B: ข้อมูลนี้มีค่า variance ที่น้อยกว่าค่า mean ทุกจุดของข้อมูล,C: ดูด้วยตาแล้วพบว่าข้อมูลนี้ไม่มี seasonal componentD: ADF test ได้ค่า p-value 0.005,F: ค่า autocorrelation ที่ตำแหน่งตั้งแต่ 1 ขึ้นไป ไม่ statistically significant,3,NULL
ข้อมูลด้านล่างไม่เป็น stationary เพราะเหตุใด,ไม่เป็นเพราะข้อมูลไม่ใช่ค่าคงที่,ไม่เป็นเพราะเป็นข้อมูลแบบ additive time series,ไม่เป็นเพราะมี seasonal component,ไม่เป็นเพราะมี residual component,3,P03_Q03_stationary-1-16352964886570.png
ถ้าจะแปลงข้อมูลในข้อสามให้กลายเป็นข้อมูล stationary จะต้องทำกระบวนการใดบ้าง,A,"A,B","A,B,C",ไม่สามารถปรับข้อมูลนี้ให้เป็น stationary ได้,2,anotherquestion.png
ข้อใดไม่ใช่ประโยชน์ของการ smoothing,สามารถนำมาใช้ทำนายอนาคตได้,สามารถนำมาลด noise ในข้อมูลได้,สามารถนำมาขับเน้นลักษณะสำคัญของ time series ให้เด่นชัดขึ้น,สามารถเอามาเปลี่ยนให้ข้อมูล nonstationary กลายเป็น stationary ได้,4,NULL
ถ้าต้องการใช้ smoothing กับข้อมูล time series ที่มี seasonality แต่ไม่มี trend ควรใช้ smoothing ประเภทใดดีที่สุด,Moving average,Single exponential moving average,Double exponential moving average,Triple exponential moving average,4,NULL
ข้อใดเป็นเหตุผลหลักที่จะใช้ moving average แทน exponential moving average,เมื่อต้องการให้น้ำหนักของข้อมูลในการเฉลี่ยเท่า ๆ กัน,เมื่อ time series มีเติบโตที่ช้ากว่า exponential,เมื่อต้องการให้ข้อมูลที่ smooth แล้วมีค่าใกล้ข้อมูลตั้งต้นมากขึ้น,ควรใช้ exponential moving average เสมอ,1,NULL
"SARIMA, ARIMA, ARMA จะทำงานได้ดีบนข้อมูล time series ที่มีลักษณะใด",ข้อมูล Stationary,ลักษณะของข้อมูลในอดีตบ่งบอกถึงลักษณะข้อมูลในอนาคต,ข้อมูลที่มี seasonality ชัดเจน,ข้อมูล Stationary และ ลักษณะของข้อมูลในอดีตบ่งบอกถึงลักษณะข้อมูลในอนาคต,4,NULL
ข้อใดไม่ถูกต้องเกี่ยวกับการทำนายบนข้อมูล time series,จะต้องแบ่งข้อมูล training และ testing ตามช่วงเวลา,โมเดล SARIMA จะได้ผลดีที่สุด เพราะสามารถรับมือข้อมูลได้ทุกประเภท,ถ้าข้อมูลที่ต้องการโมเดลมีการเปลี่ยนแปลงพิเศษในบางช่วงเวลาจะต้องมีการจัดการพิเศษกับข้อมูลตั้งต้น,มีกระบวนการเลือกโมเดล และประเมินผลของโมเดลที่คล้ายกับ supervised learning,2,NULL
"ข้อใดไม่ถูกต้องเกี่ยวกับโมเดล ARMA, ARIMA และ SARIMA",Autoregressive model ใช้ประโยชน์จากสัมพันธ์ระหว่างช่วงเวลาของ time series ที่ปรากฏใน autocorrelation,ส่วนของ I ในโมเดล ARIMA จะทำให้สามารถรับมือข้อมูลที่มี trend ได้,เวลาใช้โมเดลให้เลือกค่า p q ที่ทำให้ได้ค่า error น้อยที่สุดใน training data,Moving Average model คล้ายกับ linear regression ใน supervised learning ต่างตรงที่ Moving average จะใช้ความผิดพลาดของการทำนายก่อนหน้าเป็น feature,3,NULL
ข้อใดถูกต้องที่สุดเกี่ยวกับ confidence interval,ถ้า 90% confidence interval คือช่วง 9-11 ค่าที่แท้จริงของข้อมูลจะอยู่ในช่วง 8-12,ถ้า 90% confidence interval คือช่วง 9-11 มีโอกาส 90% ที่ค่าที่แท้จริงจะอยู่ในช่วง 9-11,Confidence interval ที่เปอร์เซ็นต์เดียวกันจะมีความกว้างเท่ากันเสมอ,Confidence interval จะกว้างขึ้นตาม % ค่า confidence,4,NULL
ข้อใดเป็นไม่ถูกต้องเกี่ยวกับ Facebook Prophet,สามารถใช้ค้นหา outlier ได้,สามารถทำทุกอย่างที่ SARIMA ทำได้,สามารถแบ่ง seasonal ได้หลายระดับ,สามารถใช้งานได้ดีแม้ว่าข้อมูลที่ใช้สร้างโมเดลกับข้อมูลจริงจะมีความแตกต่างกัน,4,NULL
กรณีใดบ้างที่ควรใช้ supervised learning แทน time series modeling,โมเดลปริมาณน้ำฝน PM2.5 และอุณหภูมิในแต่ละวันของกรุงเทพ,มีข้อมูลน้อย เช่น มีรอบ seasonal เพียงหนึ่งรอบ,ต้องการศึกษา seasonal effect ในข้อมูล,ควรใช้ time series modeling กับข้อมูลที่มีความสัมพันธ์ระหว่างเวลาเสมอ,3,NULL
ข้อใดไม่ถูกต้องเกี่ยวกับการโมเดล time series,ควรมีการ transform ข้อมูลเพื่อทำให้โมเดล stationary มากขึ้นก่อนนำมาเทรนกับโมเดล,ถ้า time series เป็น multiplicative time series สามารถทำ log transform เพื่อใช้กับ additive model ได้,การทำsmoothingก่อนเทรนโมเดลสามารถช่วยให้โมเดลรับมือกับ outlier ได้ดีขึ้น,ควรใช้โมเดลที่ซับซ้อนที่สุดเพื่อจะได้รับมือกับข้อมูลทุกรูปแบบ,4,NULL
ข้อใดไม่ถูกต้องเกี่ยวกับการประยุกต์ใช้ time series modeling,สามารถนำ time series มา decompose เพื่อแสดง trend ของข้อมูลในการประกอบการตัดสินใจได้,สามารถนำ Confidence interval ของการทำนายใช้บอกจุดสูงสุดและต่ำสุดของความเป็นไปได้ของข้อมูลได้,เป็นการประยุกต์ใช้ที่ถูกต้องทุกข้อ,สามารถนำมาทำโมเดลเพื่อแจ้งเตือนในช่วงเวลาที่ผิดปกติ,1,NULL





